user_id,lang1_count,lang2_count,lang3_count,lang4_count,lang5_count,lang6_count,lang7_count,lang8_count,lang9_count,lang10_count,lang1_norm_count,lang2_norm_count,lang3_norm_count,lang4_norm_count,lang5_norm_count,lang6_norm_count,lang7_norm_count,lang8_norm_count,lang9_norm_count,lang10_norm_count
712,13,46,9,5,44,38,16,47,1,42,0.8422767450202642,0.5407881142319998,0.467038299874605,0.3942942099009149,0.3902088492655634,0.3653114337660827,0.3617481952125225,0.3228449340406581,0.2996435042691232,0.2929608747429167
713,13,38,9,46,42,5,4,44,16,47,0.8320832371187045,0.3721002075492629,0.3670494762555346,0.3059328039752558,0.2563044506533691,0.2513320537405661,0.2461170068756794,0.1915162566409897,0.1915162566409897,0.1174276551283719
714,13,24,8,9,40,46,29,16,36,5,0.7050778789305271,0.6679394932871336,0.4312089198785002,0.4159860002496241,0.384506843663259,0.3830325132819795,0.3617481952125225,0.346173459258783,0.3202056083882972,0.3118725129920311
715,13,16,4,46,9,42,38,47,29,5,0.7755302563913657,0.4791758503408944,0.39562201900087,0.3800214054878736,0.3118725129920311,0.3089439117693617,0.2563044506533691,0.2563044506533691,0.2000718021862013,0.1822158491407513
716,13,4,47,9,46,42,16,38,29,5,0.7696735490262764,0.5991888116935001,0.5895305623525459,0.538386052290799,0.5071727845430076,0.5043474061752833,0.4181454122387411,0.337443118485756,0.3147230087980072,0.3118725129920311
717,13,9,46,5,16,4,44,14,11,31,0.6653259826953954,0.1339043986121942,0.1174276551283719,0.0979398038504438,0.0740886015126178,0.0433390536157541,0.0433390536157541,0.0433390536157541,0.0433390536157541,0.0
718,13,42,46,9,5,38,1,44,10,47,0.7358091851244728,0.4253772596533251,0.3995092567658017,0.3580620624137614,0.2996435042691232,0.2406344072853893,0.2000718021862013,0.1915162566409897,0.1720284053630616,0.1607667087441261
719,13,46,5,38,9,44,16,1,42,31,0.7860534253026903,0.4068837156198054,0.3327951141071876,0.2820816016374298,0.2610557776673281,0.2406344072853893,0.2406344072853893,0.2287458041304111,0.207993000124812,0.1915162566409897
720,13,46,9,5,16,44,47,38,1,10,0.8383445796526412,0.536636630948088,0.4007742094934727,0.3704430075630889,0.337443118485756,0.3327951141071876,0.3279357656004687,0.3174994573145732,0.2963544060504712,0.2406344072853893
721,13,46,42,38,44,9,5,1,47,14,0.7852982777572023,0.3327951141071876,0.2741604036988191,0.1822158491407513,0.1481772030252355,0.1174276551283719,0.1174276551283719,0.1174276551283719,0.0433390536157541,0.0433390536157541
722,13,46,38,44,5,9,17,42,47,10,0.7387244728691417,0.5757787864653354,0.4827390888944546,0.4525720343083179,0.4367388042552232,0.4213048715597685,0.3174994573145732,0.3147230087980072,0.2996435042691232,0.2820816016374298
