movie_id,actor_1_id,actor_2_id,actor_3_id,actor_4_id,actor_5_id
202,656.0,646.0,774.0,604.0,1572.0
203,3349.0,370.0,2779.0,1604.0,391.0
204,450.0,531.0,3978.0,4453.0,4541.0
205,4539.0,4821.0,4034.0,4374.0,4055.0
206,1108.0,4007.0,4354.0,3071.0,4530.0
207,131.0,2653.0,9.0,4550.0,1988.0
208,1456.0,237.0,1437.0,828.0,548.0
209,3461.0,1028.0,221.0,4395.0,4280.0
210,2251.0,4299.0,552.0,4864.0,4410.0
211,450.0,770.0,2791.0,4321.0,4140.0
212,2692.0,2389.0,3486.0,4164.0,4392.0
213,3747.0,3910.0,4204.0,4069.0,4322.0
214,1546.0,2828.0,3579.0,4521.0,4172.0
215,3983.0,562.0,650.0,4726.0,3696.0
216,4671.0,4501.0,3704.0,3933.0,3565.0
217,634.0,92.0,3656.0,1777.0,825.0
218,1651.0,3831.0,4574.0,3870.0,2087.0
219,1524.0,4227.0,19.0,3453.0,4311.0
220,3051.0,252.0,632.0,430.0,268.0
221,152.0,494.0,2405.0,1673.0,2976.0
222,3288.0,3886.0,2542.0,3021.0,3920.0
223,3641.0,3911.0,3892.0,4090.0,4798.0
224,391.0,3836.0,201.0,634.0,2251.0
225,3537.0,1563.0,4107.0,933.0,4171.0
226,557.0,637.0,3836.0,555.0,3402.0
227,3528.0,3427.0,3666.0,4634.0,4386.0
228,476.0,375.0,4683.0,3854.0,3958.0
229,708.0,4117.0,3367.0,3525.0,1881.0
230,4004.0,622.0,3036.0,4373.0,4623.0
231,3717.0,2763.0,4844.0,4290.0,3293.0
232,33.0,3371.0,2621.0,936.0,4711.0
233,237.0,479.0,4528.0,1771.0,276.0
234,4777.0,3296.0,4276.0,4458.0,4188.0
235,4587.0,4114.0,3750.0,4596.0,4287.0
236,394.0,2887.0,4687.0,1786.0,3885.0
237,602.0,3817.0,3470.0,1660.0,3897.0
238,337.0,98.0,100.0,766.0,4126.0
239,777.0,3741.0,248.0,3747.0,4826.0
240,3378.0,3382.0,3617.0,3540.0,3529.0
241,1456.0,237.0,1437.0,740.0,1100.0
242,1876.0,410.0,440.0,1693.0,4643.0
243,4275.0,3542.0,3805.0,3391.0,4497.0
244,65.0,536.0,3807.0,4263.0,3853.0
245,2855.0,4459.0,1149.0,3041.0,3898.0
246,391.0,1637.0,573.0,3490.0,3799.0
247,2845.0,24.0,315.0,3954.0,4069.0
248,1477.0,285.0,3965.0,3178.0,2467.0
