cast_id,user_id,watch_count,normalized_watch_count
151,358,42,0.352326292631838
151,360,22,0.20118796174185205
151,361,51,0.39823104268710496
151,362,32,0.2883901992372403
151,363,11,0.04403950128882794
151,364,35,0.3094076681337352
151,366,36,0.31602584966030967
151,367,36,0.31602584966030967
151,368,50,0.39354063288495056
151,370,38,0.3287418653056786
151,371,48,0.38387740371852197
151,372,36,0.31602584966030967
151,373,25,0.23080237057393804
151,374,64,0.45213103613001737
151,375,34,0.30260303463730076
151,378,37,0.32246752513959975
151,379,42,0.352326292631838
151,380,23,0.21146817340199475
151,381,29,0.2653681668449074
151,382,29,0.2653681668449074
151,384,27,0.24870304119438813
151,389,42,0.352326292631838
151,390,30,0.2732884998536118
151,391,34,0.30260303463730076
151,392,16,0.12817246604004318
151,394,22,0.20118796174185205
151,395,51,0.39823104268710496
151,396,46,0.37381142578857374
151,398,58,0.4287371044879904
151,399,52,0.4028321058949502
151,400,31,0.280957350783421
151,401,35,0.3094076681337352
151,402,27,0.24870304119438813
151,403,35,0.3094076681337352
151,406,44,0.36330766157664784
151,407,34,0.30260303463730076
151,408,65,0.4558188713504069
151,410,44,0.36330766157664784
151,411,20,0.1792138638129619
151,412,34,0.30260303463730076
151,413,21,0.19045070450549972
151,415,29,0.2653681668449074
151,416,27,0.24870304119438813
151,417,31,0.280957350783421
151,418,27,0.24870304119438813
151,419,32,0.2883901992372403
151,420,51,0.39823104268710496
151,422,70,0.4734579842680283
151,424,23,0.21146817340199475
151,425,35,0.3094076681337352
151,426,34,0.30260303463730076
151,427,55,0.41613171330755505
151,430,26,0.2399184907523091
151,432,35,0.3094076681337352
151,433,46,0.37381142578857374
151,434,19,0.1674286721131668
151,435,47,0.37889684551516145
151,436,93,0.5412400979017405
151,437,31,0.280957350783421
151,439,28,0.257179297382797
151,440,71,0.47683634024690214
151,441,34,0.30260303463730076
151,442,18,0.15503885302643294
151,443,38,0.3287418653056786
151,444,43,0.35787937661866653
151,445,42,0.352326292631838
151,446,38,0.3287418653056786
151,447,36,0.31602584966030967
151,448,61,0.4407171719667786
151,449,37,0.32246752513959975
151,450,31,0.280957350783421
151,451,41,0.3466425359261287
151,452,76,0.4930537391428006
151,453,78,0.49924763017742435
151,454,38,0.3287418653056786
151,455,48,0.38387740371852197
151,456,31,0.280957350783421
151,457,34,0.30260303463730076
151,459,29,0.2653681668449074
151,463,31,0.280957350783421
151,464,59,0.4327968389580741
151,465,41,0.3466425359261287
151,466,56,0.42040701987134044
151,467,38,0.3287418653056786
151,470,33,0.2956011381532101
151,471,36,0.31602584966030967
151,472,29,0.2653681668449074
151,473,56,0.42040701987134044
151,475,37,0.32246752513959975
151,476,41,0.3466425359261287
151,479,36,0.31602584966030967
151,480,44,0.36330766157664784
151,481,49,0.38875733766924625
151,482,77,0.4961705374188453
151,483,29,0.2653681668449074
151,484,35,0.3094076681337352
151,485,51,0.39823104268710496
151,486,59,0.4327968389580741
151,487,24,0.22132866555607944
151,488,12,0.06337369846077123
151,490,43,0.35787937661866653
151,491,61,0.4407171719667786
151,492,43,0.35787937661866653
151,493,35,0.3094076681337352
151,494,51,0.39823104268710496
151,495,33,0.2956011381532101
151,496,41,0.3466425359261287
151,497,63,0.4483860228965878
151,498,31,0.280957350783421
151,499,25,0.23080237057393804
151,501,55,0.41613171330755505
151,502,47,0.37889684551516145
151,504,29,0.2653681668449074
151,505,39,0.3348573442263336
151,506,54,0.41177937006157916
151,507,28,0.257179297382797
151,508,69,0.4700317067504677
151,509,22,0.20118796174185205
151,510,15,0.11352867867025418
151,511,28,0.257179297382797
151,512,31,0.280957350783421
151,513,66,0.4594512482959666
151,514,40,0.34082180812802765
151,515,59,0.4327968389580741
151,516,29,0.2653681668449074
151,517,32,0.2883901992372403
151,518,33,0.2956011381532101
151,519,31,0.280957350783421
151,521,51,0.39823104268710496
151,522,20,0.1792138638129619
151,524,42,0.352326292631838
151,525,50,0.39354063288495056
151,527,41,0.3466425359261287
151,528,27,0.24870304119438813
151,529,26,0.2399184907523091
151,530,35,0.3094076681337352
151,531,44,0.36330766157664784
151,532,46,0.37381142578857374
151,533,45,0.36861663385501886
151,534,46,0.37381142578857374
151,535,43,0.35787937661866653
151,537,44,0.36330766157664784
151,540,36,0.31602584966030967
151,541,13,0.08127436908122132
151,542,36,0.31602584966030967
151,545,60,0.4367894672977194
151,546,54,0.41177937006157916
151,547,29,0.2653681668449074
151,548,45,0.36861663385501886
151,549,17,0.1419789960205684
151,550,22,0.20118796174185205
151,551,55,0.41613171330755505
151,552,38,0.3287418653056786
151,553,26,0.2399184907523091
151,554,47,0.37889684551516145
151,555,31,0.280957350783421
151,556,35,0.3094076681337352
151,557,29,0.2653681668449074
